Project Code,Database,Dealer,Cloud Partner,Training Provided,tenure,Recently updated,Catalog Type,Region,Licence Security,Catalog Locking,Licence Protection,TechSupport,Cloud Pulished,GSV added,Contract,PaperlessBilling,PaymentMethod,MonthlyHours,TotalHours,Churn
9522-ZSINC,Common,0,No,No,13,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,Yes,Electronic check,19.95,253.8,No
8234-GSZYK,Common,0,No,No,43,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),26.45,1110.05,No
6505-OZNPG,DFM,0,No,No,6,No,Countertop,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Mailed check,63.4,348.8,No
6164-HAQTX,Common,0,No,No,71,No,Countertop,ROAP,Yes,Yes,Yes,Yes,Yes,No,Fixed Price,No,Bank transfer (automatic),53.95,3888.65,No
0679-IDSTG,DFM,1,Yes,Yes,1,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,69.25,69.25,Yes
7765-LWVVH,DFM,0,Yes,Yes,72,Yes,Appliance,North America,Yes,Yes,No,No,Yes,No,Fixed Price,Yes,Electronic check,95.1,6843.15,No
1658-TJVOA,DFM,1,No,No,6,Yes,Cabinetry,North America,Yes,No,No,No,No,No,T&M,Yes,Electronic check,74.1,450.9,No
0953-LGOVU,Common,0,Yes,Yes,12,No,Countertop,ROAP,No,Yes,No,Yes,No,No,T&M,No,Mailed check,35.5,432.25,No
2115-BFTIW,Common,0,No,No,25,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,No,Mailed check,70.95,1767.35,Yes
4692-NNQRU,DFM,0,Yes,No,21,Yes,Cabinetry,North America,No,No,Yes,Yes,No,No,AMC,No,Electronic check,79.2,1742.45,No
7742-MYPGI,DFM,0,Yes,Yes,6,Yes,Cabinetry,ROAP,No,No,No,Yes,No,No,T&M,Yes,Mailed check,48.8,297.35,No
0611-DFXKO,Common,0,Yes,No,20,Yes,Cabinetry,North America,No,No,No,No,Yes,Yes,T&M,Yes,Mailed check,89,1820.45,Yes
7780-OTDSO,Common,0,Yes,No,18,Yes,Appliance,North America,Yes,No,No,No,Yes,Yes,T&M,Yes,Electronic check,99.4,1742.95,Yes
9619-GSATL,DFM,0,No,No,43,Yes,Cabinetry,ROAP,No,Yes,No,Yes,No,No,AMC,No,Electronic check,55.45,2444.25,No
5622-UEJFI,DFM,0,Yes,Yes,35,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Credit card (automatic),25.4,949.8,No
9747-DDZOS,DFM,0,No,No,1,Yes,Cabinetry,North America,No,No,Yes,No,No,No,T&M,No,Bank transfer (automatic),73.5,73.5,Yes
0674-DGMAQ,Common,1,Yes,No,32,Yes,Appliance,North America,No,Yes,Yes,No,No,Yes,T&M,Yes,Electronic check,93.5,2970.8,No
6203-HBZPA,Common,0,No,No,52,No,Countertop,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Credit card (automatic),63.9,3334.95,No
0484-FFVBJ,Common,0,No,No,32,Yes,Cabinetry,ROAP,No,No,No,No,Yes,Yes,AMC,Yes,Bank transfer (automatic),64.85,2010.95,No
0301-FIDRB,DFM,0,Yes,Yes,72,No,Countertop,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),63.8,4684.3,No
4139-JPIAM,Common,0,No,No,51,No,Countertop,ROAP,Yes,No,No,Yes,No,Yes,T&M,Yes,Credit card (automatic),44.45,2181.55,No
2181-TIDSV,Common,0,Yes,Yes,68,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Bank transfer (automatic),19.95,1303.25,No
2761-XECQW,Common,1,Yes,No,8,No,Countertop,ROAP,No,Yes,Yes,No,No,Yes,T&M,Yes,Mailed check,43.35,371.4,No
1936-CZAKF,Common,0,Yes,No,49,No,Countertop,ROAP,No,Yes,No,No,Yes,Yes,Fixed Price,No,Credit card (automatic),49.65,2409.9,No
9453-PATOS,DFM,0,Yes,No,72,Yes,Cabinetry,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Mailed check,85.1,6155.4,No
0564-JJHGS,Common,0,No,No,9,Yes,Appliance,North America,No,No,No,No,Yes,Yes,T&M,Yes,Electronic check,95.5,829.1,Yes
3348-CFRNX,DFM,0,Yes,No,28,Yes,Cabinetry,North America,Yes,No,No,No,Yes,Yes,T&M,Yes,Mailed check,92.35,2602.9,Yes
4402-FTBXC,Common,0,No,No,54,Yes,Cabinetry,North America,Yes,No,Yes,No,Yes,No,T&M,No,Mailed check,89.8,4667,No
1428-GTBJJ,Common,0,No,No,11,Yes,Cabinetry,North America,No,Yes,No,No,No,No,T&M,Yes,Electronic check,74.55,824.75,Yes
2931-XIQBR,DFM,0,Yes,Yes,50,Yes,Cabinetry,North America,No,No,Yes,Yes,Yes,Yes,AMC,No,Mailed check,103.05,5153.5,No
0106-UGRDO,DFM,0,Yes,No,69,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Electronic check,116,8182.85,No
5542-TBBWB,Common,0,No,No,1,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,69.9,69.9,No
1930-QPBVZ,Common,0,Yes,Yes,68,Yes,Cabinetry,North America,Yes,Yes,No,Yes,No,Yes,Fixed Price,No,Bank transfer (automatic),95.1,6683.4,No
2606-PKWJB,Common,0,No,Yes,40,No,Countertop,ROAP,Yes,Yes,No,Yes,No,No,AMC,No,Mailed check,40.25,1564.05,No
5322-ZSMZY,Common,0,Yes,Yes,31,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,25.75,755.6,No
8059-UDZFY,DFM,1,No,Yes,33,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Bank transfer (automatic),105.35,3465.05,No
7740-BTPUX,Common,1,Yes,No,55,Yes,Appliance,North America,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Electronic check,113.6,6292.7,No
5220-AGAAX,Common,0,Yes,Yes,68,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Bank transfer (automatic),24,1664.3,No
0208-BPQEJ,DFM,0,Yes,Yes,12,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Bank transfer (automatic),19.4,198.1,No
9435-JMLSX,Common,0,Yes,No,71,Yes,Cabinetry,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),86.1,6045.9,No
3352-ALMCK,Common,0,No,No,40,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Mailed check,102.65,4108.15,No
5312-IRCFR,DFM,0,Yes,Yes,64,Yes,Appliance,North America,No,Yes,Yes,No,No,Yes,AMC,Yes,Electronic check,92.85,5980.75,No
5294-IMHHT,Common,0,Yes,No,53,Yes,Appliance,North America,No,Yes,No,Yes,No,Yes,AMC,No,Bank transfer (automatic),97.75,5043.2,No
8802-UNOJF,Common,1,No,No,12,Yes,Cabinetry,North America,No,Yes,Yes,Yes,No,No,T&M,Yes,Mailed check,83.8,1029.75,Yes
6313-GIDIT,Common,1,No,No,53,No,Countertop,ROAP,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Electronic check,54.45,2854.55,Yes
6176-YJWAS,Common,0,Yes,No,72,Yes,Appliance,North America,Yes,Yes,Yes,No,Yes,No,Fixed Price,Yes,Credit card (automatic),97.95,7114.25,No
5310-NOOVA,Common,0,No,No,46,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Electronic check,19.95,907.05,No
4526-EXKKN,Common,0,No,No,40,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Mailed check,24.6,973.95,No
5311-IHLEI,Common,0,No,No,12,No,Countertop,ROAP,Yes,Yes,No,Yes,Yes,No,T&M,Yes,Bank transfer (automatic),50.95,605.75,No
3987-KQDDU,Common,0,No,No,9,Yes,Cabinetry,North America,Yes,No,No,No,No,No,T&M,No,Electronic check,75.6,661.55,No
3404-JNXAX,DFM,0,Yes,Yes,51,Yes,Appliance,North America,No,No,No,Yes,No,No,T&M,Yes,Electronic check,80.75,4116.9,No
5131-PONJI,Common,0,Yes,Yes,49,Yes,Cabinetry,North America,No,Yes,Yes,No,Yes,No,T&M,Yes,Credit card (automatic),90.4,4494.65,No
2845-AFFTX,Common,1,Yes,No,41,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Electronic check,99.8,4259.3,Yes
3489-VSFRD,DFM,0,No,No,56,Yes,Cabinetry,ROAP,Yes,No,Yes,Yes,No,No,AMC,Yes,Credit card (automatic),60.25,3282.75,No
3345-JHUEO,Common,0,No,No,4,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Electronic check,20.2,55.7,No
5815-HGGHV,Common,0,Yes,No,20,Yes,Cabinetry,ROAP,Yes,No,No,Yes,No,Yes,AMC,Yes,Mailed check,64.15,1274.45,No
5260-UMPWX,DFM,0,Yes,Yes,26,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Credit card (automatic),20.25,493.95,No
2249-YPRNG,DFM,0,Yes,Yes,20,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Bank transfer (automatic),105.85,2239.65,Yes
7410-YTJIK,DFM,0,No,No,7,Yes,Appliance,North America,No,No,No,No,No,No,T&M,No,Mailed check,75.45,480.75,Yes
4626-GYCZP,Common,0,No,No,7,Yes,Appliance,North America,No,No,No,No,Yes,Yes,T&M,Yes,Electronic check,93.85,635.6,Yes
5649-RXQTV,Common,0,No,No,51,Yes,Cabinetry,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Electronic check,99,5038.15,No
2674-MIAHT,DFM,0,No,No,4,Yes,Appliance,North America,No,Yes,No,No,No,No,T&M,Yes,Mailed check,80.3,324.2,No
2576-HXMPA,DFM,0,No,No,1,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Credit card (automatic),19.55,19.55,No
7587-AOVVU,Common,0,Yes,Yes,27,Yes,Appliance,North America,Yes,Yes,No,Yes,Yes,No,T&M,No,Electronic check,100.75,2793.55,No
5590-BYNII,Common,0,No,No,22,Yes,Appliance,North America,Yes,No,No,No,Yes,Yes,T&M,Yes,Electronic check,100.75,2095,Yes
6898-MDLZW,Common,0,No,No,12,Yes,Cabinetry,ROAP,No,Yes,No,Yes,No,No,T&M,Yes,Mailed check,53.75,648.65,No
3237-AJGEH,DFM,0,Yes,Yes,3,No,Countertop,ROAP,No,No,No,Yes,No,No,T&M,Yes,Mailed check,31,95.05,Yes
4707-YNOQA,DFM,0,Yes,Yes,34,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,Yes,Credit card (automatic),25.6,917.15,No
9357-UJRUN,Common,0,Yes,No,24,Yes,Appliance,ROAP,Yes,No,No,Yes,No,No,AMC,Yes,Electronic check,58.35,1346.9,No
1591-NFNLQ,Common,0,No,No,51,Yes,Appliance,North America,No,No,Yes,No,No,No,T&M,No,Credit card (automatic),80,4242.35,Yes
8648-PFRMP,DFM,1,No,No,14,No,Countertop,ROAP,No,No,No,No,Yes,Yes,T&M,Yes,Electronic check,46.35,672.7,No
7663-CUXZB,Common,0,Yes,No,59,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Electronic check,113.75,6561.25,No
0258-NOKBL,Common,0,No,No,3,Yes,Cabinetry,North America,No,Yes,Yes,No,No,Yes,T&M,No,Electronic check,90.4,268.45,No
1163-VIPRI,DFM,0,Yes,Yes,65,Yes,Appliance,North America,Yes,No,Yes,Yes,Yes,Yes,Fixed Price,No,Electronic check,109.3,7337.55,No
2815-CPTUL,Common,1,No,No,5,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Mailed check,70.25,331.9,Yes
9348-ROUAI,DFM,0,Yes,Yes,59,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Credit card (automatic),90.3,5194.05,No
9443-JUBUO,Common,0,Yes,Yes,72,No,Countertop,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),65.25,4478.85,No
0596-BQCEQ,DFM,0,Yes,Yes,62,Yes,Cabinetry,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Electronic check,100.15,6283.3,Yes
1481-ZUWZA,Common,0,No,No,28,Yes,Appliance,North America,Yes,Yes,No,No,No,Yes,T&M,Yes,Credit card (automatic),94.5,2659.4,Yes
3043-TYBNO,Common,0,No,No,3,Yes,Cabinetry,ROAP,No,No,No,Yes,No,Yes,T&M,No,Mailed check,60.65,196.9,No
4830-FAXFM,Common,0,No,Yes,19,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Credit card (automatic),24.1,439.2,No
5906-BFOZT,Common,0,No,No,1,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,19.5,19.5,No
2960-NKRSO,Common,0,No,No,24,Yes,Cabinetry,North America,No,Yes,Yes,Yes,No,No,T&M,Yes,Electronic check,85.95,2107.15,No
8996-ZROXE,Common,1,No,No,57,Yes,Cabinetry,ROAP,No,No,Yes,Yes,No,No,AMC,Yes,Electronic check,53.5,3035.8,No
5598-IKHQQ,DFM,0,No,No,72,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),25.45,1866.45,No
0397-ZXWQF,Common,0,No,No,67,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),20.5,1430.95,No
5266-PFRQK,Common,0,Yes,Yes,52,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,Yes,Credit card (automatic),20.85,1071.6,No
4674-HGNUA,Common,0,Yes,Yes,71,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Credit card (automatic),89.9,6457.15,No
6765-MBQNU,DFM,0,Yes,No,26,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,26,684.05,No
9786-IJYDL,DFM,0,No,No,35,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Mailed check,113.2,3914.05,No
1303-SRDOK,DFM,0,Yes,Yes,55,Yes,Cabinetry,North America,No,No,No,No,No,No,Fixed Price,Yes,Credit card (automatic),69.05,3842.6,No
3769-MHZNV,DFM,0,Yes,Yes,33,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,20.1,670.35,No
6295-OSINB,Common,0,Yes,No,72,Yes,Appliance,North America,Yes,Yes,Yes,No,Yes,Yes,Fixed Price,Yes,Electronic check,109.65,7880.25,No
3308-MHOOC,Common,0,No,Yes,1,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,19.2,19.2,No
2309-OSFEU,Common,0,No,No,10,No,Countertop,ROAP,No,No,No,No,No,Yes,T&M,Yes,Mailed check,33.9,298.45,Yes
2207-QPJED,DFM,1,Yes,No,37,Yes,Cabinetry,North America,No,No,Yes,Yes,Yes,No,T&M,No,Electronic check,90,3371.75,No
4177-JPDFU,Common,0,No,No,12,No,Countertop,ROAP,No,Yes,No,Yes,No,No,T&M,No,Mailed check,34,442.45,No
2239-CFOUJ,Common,0,Yes,Yes,1,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.4,20.4,No
8046-DNVTL,Common,0,Yes,No,62,No,Countertop,ROAP,Yes,Yes,No,Yes,No,No,Fixed Price,Yes,Credit card (automatic),38.6,2345.55,No
2209-XADXF,DFM,0,No,No,1,No,Countertop,ROAP,No,No,No,No,No,No,T&M,No,Bank transfer (automatic),25.25,25.25,No
6620-JDYNW,DFM,0,No,No,18,Yes,Appliance,ROAP,Yes,No,Yes,No,No,No,T&M,Yes,Mailed check,60.6,1156.35,No
1891-FZYSA,Common,1,Yes,No,69,Yes,Appliance,North America,No,Yes,No,No,Yes,No,T&M,Yes,Electronic check,89.95,6143.15,Yes
4770-UEZOX,Common,0,No,No,2,Yes,Cabinetry,North America,No,Yes,No,No,No,No,T&M,Yes,Electronic check,74.75,144.8,No
1038-RQOST,Common,0,Yes,Yes,19,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.6,414.95,No
7613-LLQFO,Common,0,No,No,12,Yes,Appliance,North America,No,No,No,No,Yes,No,T&M,Yes,Electronic check,84.45,1059.55,Yes
4568-TTZRT,Common,0,No,No,9,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.4,181.8,No
9513-DXHDA,Common,0,No,No,27,Yes,Cabinetry,ROAP,Yes,No,Yes,Yes,Yes,Yes,AMC,No,Electronic check,81.7,2212.55,No
2640-PMGFL,Common,0,No,Yes,27,Yes,Appliance,North America,No,No,No,Yes,No,No,T&M,Yes,Electronic check,79.5,2180.55,Yes
3801-HMYNL,Common,0,Yes,Yes,1,Yes,Cabinetry,North America,No,No,No,No,Yes,Yes,T&M,No,Mailed check,89.15,89.15,Yes
0516-QREYC,DFM,1,No,No,24,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,20.3,459.95,No
9685-WKZGT,Common,1,No,No,14,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,74.95,1036.75,Yes
6022-UGGSO,DFM,1,No,No,32,Yes,Cabinetry,North America,No,Yes,No,No,No,No,T&M,Yes,Electronic check,74.4,2276.95,Yes
8084-OIVBS,DFM,0,No,No,11,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20,211.95,No
8896-BQTTI,Common,0,No,No,1,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,25,25,No
3865-QBWSJ,Common,1,No,Yes,38,Yes,Appliance,North America,Yes,No,No,No,No,No,T&M,Yes,Mailed check,80.45,3162.65,No
3352-RICWQ,DFM,0,Yes,Yes,9,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,19.75,210.65,No
2160-GPFXD,Common,0,Yes,Yes,54,Yes,Appliance,ROAP,Yes,Yes,No,Yes,No,No,Fixed Price,Yes,Credit card (automatic),65.65,3566.7,No
2065-MMKGR,DFM,0,No,No,29,Yes,Appliance,ROAP,No,No,No,No,Yes,Yes,AMC,Yes,Credit card (automatic),71,2080.1,No
5857-TYBCJ,Common,1,Yes,No,44,Yes,Appliance,North America,No,No,Yes,No,Yes,No,T&M,Yes,Electronic check,89.2,4040.2,No
1498-NHTLT,Common,0,Yes,Yes,59,Yes,Cabinetry,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Electronic check,86.75,5186,No
4484-CGXFK,DFM,0,No,No,3,Yes,Cabinetry,ROAP,No,No,No,No,No,Yes,T&M,Yes,Electronic check,55.3,196.15,Yes
1402-PTHGN,DFM,0,Yes,Yes,18,Yes,Cabinetry,ROAP,Yes,Yes,No,Yes,No,No,AMC,Yes,Mailed check,61.5,1087.45,No
4176-RELJR,Common,1,No,No,67,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),25.1,1672.15,No
6214-EDAKZ,DFM,0,Yes,Yes,22,Yes,Cabinetry,ROAP,No,Yes,No,Yes,No,No,T&M,No,Electronic check,55.15,1206.05,Yes
5199-FPUSP,Common,0,No,Yes,33,No,Countertop,ROAP,Yes,No,No,Yes,No,No,AMC,No,Credit card (automatic),34.05,1113.95,No
6377-KSLXC,Common,0,No,No,5,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,19.95,107.05,No
1796-JANOW,DFM,0,No,No,2,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,19.95,38.15,No
0238-WHBIQ,Common,0,Yes,Yes,72,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Credit card (automatic),89.7,6339.3,No
8735-NBLWT,Common,0,No,Yes,9,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.4,184.1,No
6651-RLGGM,Common,0,Yes,Yes,67,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,26.3,1688.9,No
6127-ISGTU,DFM,0,Yes,No,16,Yes,Appliance,North America,No,No,No,No,Yes,No,T&M,Yes,Electronic check,84.95,1378.25,Yes
1614-JBEBI,DFM,0,No,No,8,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,20.7,137.6,No
8740-XLHDR,Common,0,No,No,5,No,Countertop,ROAP,Yes,Yes,Yes,Yes,No,No,T&M,Yes,Mailed check,43.25,219,Yes
1208-DNHLN,Common,0,Yes,Yes,23,Yes,Appliance,ROAP,No,No,No,No,No,No,AMC,Yes,Credit card (automatic),48.35,1067.15,Yes
1761-AEZZR,Common,0,No,No,1,Yes,Cabinetry,North America,No,No,No,No,Yes,No,T&M,Yes,Electronic check,79.55,79.55,Yes
3923-CSIHK,DFM,1,Yes,No,50,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,71.05,3444.85,Yes
5696-EXCYS,Common,0,No,No,17,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),19.45,369.05,No
5795-KTGUD,DFM,0,Yes,No,68,Yes,Appliance,North America,Yes,Yes,Yes,No,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),110.8,7553.6,No
7120-RFMVS,Common,0,No,No,1,Yes,Appliance,North America,No,No,No,No,Yes,No,T&M,No,Electronic check,84.5,84.5,Yes
7924-GJZFI,DFM,1,Yes,No,25,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,69.3,1813.1,No
4702-HDRKD,Common,0,No,No,67,No,Countertop,ROAP,Yes,No,Yes,Yes,Yes,No,AMC,Yes,Bank transfer (automatic),49.35,3321.35,No
8512-WIWYV,Common,0,No,No,32,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,No,Credit card (automatic),20.35,707.5,No
5897-ZYEKH,DFM,1,Yes,No,67,Yes,Appliance,North America,Yes,Yes,No,No,Yes,Yes,AMC,Yes,Electronic check,105.6,7112.15,No
5456-ITGIC,Common,1,Yes,No,72,No,Countertop,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),64.45,4641.1,No
7317-GGVPB,Common,0,Yes,No,71,Yes,Appliance,North America,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),108.6,7690.9,Yes
1406-PUQVY,Common,0,No,Yes,1,Yes,Cabinetry,ROAP,No,Yes,No,No,No,No,T&M,Yes,Electronic check,49.9,49.9,No
1322-AGOQM,Common,0,No,No,46,No,Countertop,ROAP,No,Yes,No,No,No,No,T&M,No,Bank transfer (automatic),30.3,1380.1,Yes
3677-IYRBF,DFM,1,No,No,2,No,Countertop,ROAP,No,No,Yes,No,No,No,T&M,Yes,Electronic check,30.4,78.65,Yes
5692-FPTAH,DFM,0,No,No,1,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,Yes,Mailed check,45.4,45.4,Yes
9114-AAFQH,DFM,0,Yes,No,48,Yes,Cabinetry,ROAP,No,Yes,Yes,No,No,Yes,AMC,Yes,Electronic check,65.65,3094.65,No
8715-KKTFG,DFM,0,Yes,No,61,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,AMC,Yes,Bank transfer (automatic),103.3,6518.35,No
1550-LOAHA,DFM,0,Yes,No,32,Yes,Cabinetry,North America,No,Yes,No,No,No,Yes,T&M,No,Bank transfer (automatic),84.15,2585.95,Yes
1728-BQDMA,DFM,0,No,No,2,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,No,Electronic check,44.45,82.7,No
0268-QKIWO,DFM,0,No,No,3,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Electronic check,19.75,58.85,Yes
0876-WDUUZ,DFM,0,No,No,5,Yes,Cabinetry,North America,No,No,No,Yes,No,Yes,T&M,Yes,Credit card (automatic),85.4,425.9,Yes
5117-ZSMHQ,DFM,0,Yes,Yes,71,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Bank transfer (automatic),89.9,6342.7,No
5151-HQRDG,Common,0,Yes,No,37,Yes,Appliance,ROAP,Yes,No,No,No,No,No,T&M,Yes,Mailed check,55.05,2030.75,No
0960-HUWBM,Common,0,Yes,Yes,65,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),104.1,6700.05,No
6465-GSRCL,DFM,0,No,Yes,67,Yes,Appliance,North America,No,Yes,No,Yes,Yes,Yes,AMC,Yes,Bank transfer (automatic),106.6,7244.7,No
0617-FHSGK,Common,0,No,Yes,49,Yes,Appliance,North America,No,No,No,No,No,No,T&M,No,Credit card (automatic),75.2,3678.3,Yes
0263-FJTQO,Common,0,Yes,Yes,50,Yes,Appliance,ROAP,Yes,No,No,Yes,Yes,No,Fixed Price,Yes,Credit card (automatic),70.5,3486.65,No
7319-ZNRTR,Common,0,Yes,Yes,25,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,No,Electronic check,19.6,411.15,No
2858-MOFSQ,DFM,0,No,Yes,17,Yes,Appliance,ROAP,No,No,Yes,No,No,No,AMC,Yes,Mailed check,55.85,937.5,Yes
7503-EPSZW,DFM,0,Yes,Yes,64,Yes,Appliance,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Mailed check,24.05,1559.15,No
7089-XXAYG,Common,0,Yes,No,25,No,Countertop,ROAP,No,No,Yes,No,Yes,No,AMC,Yes,Credit card (automatic),38.1,970.4,No
8118-LSUEL,Common,1,No,No,23,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Electronic check,106.4,2483.5,Yes
8070-AAWZP,Common,1,Yes,No,24,No,Countertop,ROAP,No,No,Yes,Yes,No,No,T&M,No,Mailed check,34.25,828.2,No
1666-JXLKU,DFM,0,No,No,37,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Electronic check,100.05,3810.55,No
7855-DIWPO,DFM,0,No,No,21,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,68.65,1493.2,No
5133-POWUA,Common,0,No,No,1,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,Yes,Mailed check,45.8,45.8,No
5652-MSDEY,DFM,0,No,No,10,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Mailed check,75.75,777.3,No
