,Database,Dealer,Cloud Partner,Training Provided,Recently updated,Catalog Type,Region,Licence Security,Catalog Locking,Licence Protection,TechSupport,Cloud Pulished,GSV added,Contract,PaperlessBilling,PaymentMethod,MonthlyHours,TotalHours,Churn,tenure_group
2927,Common,0,No,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,69.9,69.9,0,1 - 12
2928,Common,0,Yes,Yes,Yes,Cabinetry,North America,Yes,Yes,No,Yes,No,Yes,Fixed Price,No,Bank transfer (automatic),95.1,6683.4,0,61 - 72
2929,Common,0,No,Yes,No,Countertop,ROAP,Yes,Yes,No,Yes,No,No,AMC,No,Mailed check,40.25,1564.05,0,37 - 48
2930,Common,0,Yes,Yes,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,25.75,755.6,0,25 - 36
2931,DFM,1,No,Yes,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Bank transfer (automatic),105.35,3465.05,0,25 - 36
2932,Common,1,Yes,No,Yes,Appliance,North America,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Electronic check,113.6,6292.7,0,49 - 60
2933,Common,0,Yes,Yes,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Bank transfer (automatic),24.0,1664.3,0,61 - 72
2934,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Bank transfer (automatic),19.4,198.1,0,1 - 12
2935,Common,0,Yes,No,Yes,Cabinetry,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),86.1,6045.9,0,61 - 72
2936,Common,0,No,No,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Mailed check,102.65,4108.15,0,37 - 48
2937,DFM,0,Yes,Yes,Yes,Appliance,North America,No,Yes,Yes,No,No,Yes,AMC,Yes,Electronic check,92.85,5980.75,0,61 - 72
2938,Common,0,Yes,No,Yes,Appliance,North America,No,Yes,No,Yes,No,Yes,AMC,No,Bank transfer (automatic),97.75,5043.2,0,49 - 60
2939,Common,1,No,No,Yes,Cabinetry,North America,No,Yes,Yes,Yes,No,No,T&M,Yes,Mailed check,83.8,1029.75,1,1 - 12
2940,Common,1,No,No,No,Countertop,ROAP,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Electronic check,54.45,2854.55,1,49 - 60
2941,Common,0,Yes,No,Yes,Appliance,North America,Yes,Yes,Yes,No,Yes,No,Fixed Price,Yes,Credit card (automatic),97.95,7114.25,0,61 - 72
2942,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Electronic check,19.95,907.05,0,37 - 48
2943,Common,0,No,No,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Mailed check,24.6,973.95,0,37 - 48
2944,Common,0,No,No,No,Countertop,ROAP,Yes,Yes,No,Yes,Yes,No,T&M,Yes,Bank transfer (automatic),50.95,605.75,0,1 - 12
2945,Common,0,No,No,Yes,Cabinetry,North America,Yes,No,No,No,No,No,T&M,No,Electronic check,75.6,661.55,0,1 - 12
2946,DFM,0,Yes,Yes,Yes,Appliance,North America,No,No,No,Yes,No,No,T&M,Yes,Electronic check,80.75,4116.9,0,49 - 60
2947,Common,0,Yes,Yes,Yes,Cabinetry,North America,No,Yes,Yes,No,Yes,No,T&M,Yes,Credit card (automatic),90.4,4494.65,0,49 - 60
2948,Common,1,Yes,No,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Electronic check,99.8,4259.3,1,37 - 48
2949,DFM,0,No,No,Yes,Cabinetry,ROAP,Yes,No,Yes,Yes,No,No,AMC,Yes,Credit card (automatic),60.25,3282.75,0,49 - 60
2950,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Electronic check,20.2,55.7,0,1 - 12
2951,Common,0,Yes,No,Yes,Cabinetry,ROAP,Yes,No,No,Yes,No,Yes,AMC,Yes,Mailed check,64.15,1274.45,0,13 - 24
2952,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Credit card (automatic),20.25,493.95,0,25 - 36
2953,DFM,0,Yes,Yes,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Bank transfer (automatic),105.85,2239.65,1,13 - 24
2954,DFM,0,No,No,Yes,Appliance,North America,No,No,No,No,No,No,T&M,No,Mailed check,75.45,480.75,1,1 - 12
2955,Common,0,No,No,Yes,Appliance,North America,No,No,No,No,Yes,Yes,T&M,Yes,Electronic check,93.85,635.6,1,1 - 12
2956,Common,0,No,No,Yes,Cabinetry,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Electronic check,99.0,5038.15,0,49 - 60
2957,DFM,0,No,No,Yes,Appliance,North America,No,Yes,No,No,No,No,T&M,Yes,Mailed check,80.3,324.2,0,1 - 12
2958,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Credit card (automatic),19.55,19.55,0,1 - 12
2959,Common,0,Yes,Yes,Yes,Appliance,North America,Yes,Yes,No,Yes,Yes,No,T&M,No,Electronic check,100.75,2793.55,0,25 - 36
2960,Common,0,No,No,Yes,Appliance,North America,Yes,No,No,No,Yes,Yes,T&M,Yes,Electronic check,100.75,2095.0,1,13 - 24
2961,Common,0,No,No,Yes,Cabinetry,ROAP,No,Yes,No,Yes,No,No,T&M,Yes,Mailed check,53.75,648.65,0,1 - 12
2962,DFM,0,Yes,Yes,No,Countertop,ROAP,No,No,No,Yes,No,No,T&M,Yes,Mailed check,31.0,95.05,1,1 - 12
2963,DFM,0,Yes,Yes,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,Yes,Credit card (automatic),25.6,917.15,0,25 - 36
2964,Common,0,Yes,No,Yes,Appliance,ROAP,Yes,No,No,Yes,No,No,AMC,Yes,Electronic check,58.35,1346.9,0,13 - 24
2965,Common,0,No,No,Yes,Appliance,North America,No,No,Yes,No,No,No,T&M,No,Credit card (automatic),80.0,4242.35,1,49 - 60
2966,DFM,1,No,No,No,Countertop,ROAP,No,No,No,No,Yes,Yes,T&M,Yes,Electronic check,46.35,672.7,0,13 - 24
2967,Common,0,Yes,No,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Electronic check,113.75,6561.25,0,49 - 60
2968,Common,0,No,No,Yes,Cabinetry,North America,No,Yes,Yes,No,No,Yes,T&M,No,Electronic check,90.4,268.45,0,1 - 12
2969,DFM,0,Yes,Yes,Yes,Appliance,North America,Yes,No,Yes,Yes,Yes,Yes,Fixed Price,No,Electronic check,109.3,7337.55,0,61 - 72
2970,Common,1,No,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Mailed check,70.25,331.9,1,1 - 12
2971,DFM,0,Yes,Yes,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Credit card (automatic),90.3,5194.05,0,49 - 60
2972,Common,0,Yes,Yes,No,Countertop,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),65.25,4478.85,0,61 - 72
2973,DFM,0,Yes,Yes,Yes,Cabinetry,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Electronic check,100.15,6283.3,1,61 - 72
2974,Common,0,No,No,Yes,Appliance,North America,Yes,Yes,No,No,No,Yes,T&M,Yes,Credit card (automatic),94.5,2659.4,1,25 - 36
2975,Common,0,No,No,Yes,Cabinetry,ROAP,No,No,No,Yes,No,Yes,T&M,No,Mailed check,60.65,196.9,0,1 - 12
2976,Common,0,No,Yes,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Credit card (automatic),24.1,439.2,0,13 - 24
2977,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,19.5,19.5,0,1 - 12
2978,Common,0,No,No,Yes,Cabinetry,North America,No,Yes,Yes,Yes,No,No,T&M,Yes,Electronic check,85.95,2107.15,0,13 - 24
2979,Common,1,No,No,Yes,Cabinetry,ROAP,No,No,Yes,Yes,No,No,AMC,Yes,Electronic check,53.5,3035.8,0,49 - 60
2980,DFM,0,No,No,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),25.45,1866.45,0,61 - 72
2981,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),20.5,1430.95,0,61 - 72
2982,Common,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,Yes,Credit card (automatic),20.85,1071.6,0,49 - 60
2983,Common,0,Yes,Yes,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Credit card (automatic),89.9,6457.15,0,61 - 72
2984,DFM,0,Yes,No,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,26.0,684.05,0,25 - 36
2985,DFM,0,No,No,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Mailed check,113.2,3914.05,0,25 - 36
2986,DFM,0,Yes,Yes,Yes,Cabinetry,North America,No,No,No,No,No,No,Fixed Price,Yes,Credit card (automatic),69.05,3842.6,0,49 - 60
2987,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,20.1,670.35,0,25 - 36
2988,Common,0,Yes,No,Yes,Appliance,North America,Yes,Yes,Yes,No,Yes,Yes,Fixed Price,Yes,Electronic check,109.65,7880.25,0,61 - 72
2989,Common,0,No,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,19.2,19.2,0,1 - 12
2990,Common,0,No,No,No,Countertop,ROAP,No,No,No,No,No,Yes,T&M,Yes,Mailed check,33.9,298.45,1,1 - 12
2991,DFM,1,Yes,No,Yes,Cabinetry,North America,No,No,Yes,Yes,Yes,No,T&M,No,Electronic check,90.0,3371.75,0,37 - 48
2992,Common,0,No,No,No,Countertop,ROAP,No,Yes,No,Yes,No,No,T&M,No,Mailed check,34.0,442.45,0,1 - 12
2993,Common,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.4,20.4,0,1 - 12
2994,Common,0,Yes,No,No,Countertop,ROAP,Yes,Yes,No,Yes,No,No,Fixed Price,Yes,Credit card (automatic),38.6,2345.55,0,61 - 72
2995,DFM,0,No,No,No,Countertop,ROAP,No,No,No,No,No,No,T&M,No,Bank transfer (automatic),25.25,25.25,0,1 - 12
2996,DFM,0,No,No,Yes,Appliance,ROAP,Yes,No,Yes,No,No,No,T&M,Yes,Mailed check,60.6,1156.35,0,13 - 24
2997,Common,1,Yes,No,Yes,Appliance,North America,No,Yes,No,No,Yes,No,T&M,Yes,Electronic check,89.95,6143.15,1,61 - 72
2998,Common,0,No,No,Yes,Cabinetry,North America,No,Yes,No,No,No,No,T&M,Yes,Electronic check,74.75,144.8,0,1 - 12
2999,Common,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.6,414.95,0,13 - 24
3000,Common,0,No,No,Yes,Appliance,North America,No,No,No,No,Yes,No,T&M,Yes,Electronic check,84.45,1059.55,1,1 - 12
3001,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.4,181.8,0,1 - 12
3002,Common,0,No,No,Yes,Cabinetry,ROAP,Yes,No,Yes,Yes,Yes,Yes,AMC,No,Electronic check,81.7,2212.55,0,25 - 36
3003,Common,0,No,Yes,Yes,Appliance,North America,No,No,No,Yes,No,No,T&M,Yes,Electronic check,79.5,2180.55,1,25 - 36
3004,Common,0,Yes,Yes,Yes,Cabinetry,North America,No,No,No,No,Yes,Yes,T&M,No,Mailed check,89.15,89.15,1,1 - 12
3005,DFM,1,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,20.3,459.95,0,13 - 24
3006,Common,1,No,No,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,74.95,1036.75,1,13 - 24
3007,DFM,1,No,No,Yes,Cabinetry,North America,No,Yes,No,No,No,No,T&M,Yes,Electronic check,74.4,2276.95,1,25 - 36
3008,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.0,211.95,0,1 - 12
3009,Common,0,No,No,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,25.0,25.0,0,1 - 12
3010,Common,1,No,Yes,Yes,Appliance,North America,Yes,No,No,No,No,No,T&M,Yes,Mailed check,80.45,3162.65,0,37 - 48
3011,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,19.75,210.65,0,1 - 12
3012,Common,0,Yes,Yes,Yes,Appliance,ROAP,Yes,Yes,No,Yes,No,No,Fixed Price,Yes,Credit card (automatic),65.65,3566.7,0,49 - 60
3013,DFM,0,No,No,Yes,Appliance,ROAP,No,No,No,No,Yes,Yes,AMC,Yes,Credit card (automatic),71.0,2080.1,0,25 - 36
3014,Common,1,Yes,No,Yes,Appliance,North America,No,No,Yes,No,Yes,No,T&M,Yes,Electronic check,89.2,4040.2,0,37 - 48
3015,Common,0,Yes,Yes,Yes,Cabinetry,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Electronic check,86.75,5186.0,0,49 - 60
3016,DFM,0,No,No,Yes,Cabinetry,ROAP,No,No,No,No,No,Yes,T&M,Yes,Electronic check,55.3,196.15,1,1 - 12
3017,DFM,0,Yes,Yes,Yes,Cabinetry,ROAP,Yes,Yes,No,Yes,No,No,AMC,Yes,Mailed check,61.5,1087.45,0,13 - 24
3018,Common,1,No,No,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),25.1,1672.15,0,61 - 72
3019,DFM,0,Yes,Yes,Yes,Cabinetry,ROAP,No,Yes,No,Yes,No,No,T&M,No,Electronic check,55.15,1206.05,1,13 - 24
3020,Common,0,No,Yes,No,Countertop,ROAP,Yes,No,No,Yes,No,No,AMC,No,Credit card (automatic),34.05,1113.95,0,25 - 36
3021,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,19.95,107.05,0,1 - 12
3022,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,19.95,38.15,0,1 - 12
3023,Common,0,Yes,Yes,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Credit card (automatic),89.7,6339.3,0,61 - 72
3024,Common,0,No,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.4,184.1,0,1 - 12
3025,Common,0,Yes,Yes,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,26.3,1688.9,0,61 - 72
3026,DFM,0,Yes,No,Yes,Appliance,North America,No,No,No,No,Yes,No,T&M,Yes,Electronic check,84.95,1378.25,1,13 - 24
3027,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,20.7,137.6,0,1 - 12
3028,Common,0,No,No,No,Countertop,ROAP,Yes,Yes,Yes,Yes,No,No,T&M,Yes,Mailed check,43.25,219.0,1,1 - 12
3029,Common,0,Yes,Yes,Yes,Appliance,ROAP,No,No,No,No,No,No,AMC,Yes,Credit card (automatic),48.35,1067.15,1,13 - 24
3030,Common,0,No,No,Yes,Cabinetry,North America,No,No,No,No,Yes,No,T&M,Yes,Electronic check,79.55,79.55,1,1 - 12
3031,DFM,1,Yes,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,71.05,3444.85,1,49 - 60
3032,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),19.45,369.05,0,13 - 24
3033,DFM,0,Yes,No,Yes,Appliance,North America,Yes,Yes,Yes,No,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),110.8,7553.6,0,61 - 72
3034,Common,0,No,No,Yes,Appliance,North America,No,No,No,No,Yes,No,T&M,No,Electronic check,84.5,84.5,1,1 - 12
3035,DFM,1,Yes,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,69.3,1813.1,0,25 - 36
3036,Common,0,No,No,No,Countertop,ROAP,Yes,No,Yes,Yes,Yes,No,AMC,Yes,Bank transfer (automatic),49.35,3321.35,0,61 - 72
3037,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,No,Credit card (automatic),20.35,707.5,0,25 - 36
3038,DFM,1,Yes,No,Yes,Appliance,North America,Yes,Yes,No,No,Yes,Yes,AMC,Yes,Electronic check,105.6,7112.15,0,61 - 72
3039,Common,1,Yes,No,No,Countertop,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),64.45,4641.1,0,61 - 72
3040,Common,0,Yes,No,Yes,Appliance,North America,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),108.6,7690.9,1,61 - 72
3041,Common,0,No,Yes,Yes,Cabinetry,ROAP,No,Yes,No,No,No,No,T&M,Yes,Electronic check,49.9,49.9,0,1 - 12
3042,Common,0,No,No,No,Countertop,ROAP,No,Yes,No,No,No,No,T&M,No,Bank transfer (automatic),30.3,1380.1,1,37 - 48
3043,DFM,1,No,No,No,Countertop,ROAP,No,No,Yes,No,No,No,T&M,Yes,Electronic check,30.4,78.65,1,1 - 12
3044,DFM,0,No,No,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,Yes,Mailed check,45.4,45.4,1,1 - 12
3045,DFM,0,Yes,No,Yes,Cabinetry,ROAP,No,Yes,Yes,No,No,Yes,AMC,Yes,Electronic check,65.65,3094.65,0,37 - 48
3046,DFM,0,Yes,No,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,AMC,Yes,Bank transfer (automatic),103.3,6518.35,0,61 - 72
3047,DFM,0,Yes,No,Yes,Cabinetry,North America,No,Yes,No,No,No,Yes,T&M,No,Bank transfer (automatic),84.15,2585.95,1,25 - 36
3048,DFM,0,No,No,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,No,Electronic check,44.45,82.7,0,1 - 12
3049,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Electronic check,19.75,58.85,1,1 - 12
3050,DFM,0,No,No,Yes,Cabinetry,North America,No,No,No,Yes,No,Yes,T&M,Yes,Credit card (automatic),85.4,425.9,1,1 - 12
3051,DFM,0,Yes,Yes,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Bank transfer (automatic),89.9,6342.7,0,61 - 72
3052,Common,0,Yes,No,Yes,Appliance,ROAP,Yes,No,No,No,No,No,T&M,Yes,Mailed check,55.05,2030.75,0,37 - 48
3053,Common,0,Yes,Yes,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),104.1,6700.05,0,61 - 72
3054,DFM,0,No,Yes,Yes,Appliance,North America,No,Yes,No,Yes,Yes,Yes,AMC,Yes,Bank transfer (automatic),106.6,7244.7,0,61 - 72
3055,Common,0,No,Yes,Yes,Appliance,North America,No,No,No,No,No,No,T&M,No,Credit card (automatic),75.2,3678.3,1,49 - 60
3056,Common,0,Yes,Yes,Yes,Appliance,ROAP,Yes,No,No,Yes,Yes,No,Fixed Price,Yes,Credit card (automatic),70.5,3486.65,0,49 - 60
3057,Common,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,No,Electronic check,19.6,411.15,0,25 - 36
3058,DFM,0,No,Yes,Yes,Appliance,ROAP,No,No,Yes,No,No,No,AMC,Yes,Mailed check,55.85,937.5,1,13 - 24
3059,DFM,0,Yes,Yes,Yes,Appliance,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Mailed check,24.05,1559.15,0,61 - 72
3060,Common,0,Yes,No,No,Countertop,ROAP,No,No,Yes,No,Yes,No,AMC,Yes,Credit card (automatic),38.1,970.4,0,25 - 36
3061,Common,1,No,No,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Electronic check,106.4,2483.5,1,13 - 24
3062,Common,1,Yes,No,No,Countertop,ROAP,No,No,Yes,Yes,No,No,T&M,No,Mailed check,34.25,828.2,0,13 - 24
3063,DFM,0,No,No,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Electronic check,100.05,3810.55,0,37 - 48
3064,DFM,0,No,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,68.65,1493.2,0,13 - 24
3065,Common,0,No,No,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,Yes,Mailed check,45.8,45.8,0,1 - 12
3066,DFM,0,No,No,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Mailed check,75.75,777.3,0,1 - 12
3067,Common,0,No,No,Yes,Cabinetry,North America,No,Yes,No,No,No,Yes,T&M,Yes,Electronic check,84.4,556.35,1,1 - 12
3068,Common,0,Yes,No,Yes,Appliance,North America,Yes,Yes,No,No,No,Yes,AMC,Yes,Credit card (automatic),96.4,4911.05,0,49 - 60
3069,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,20.55,187.35,0,1 - 12
3070,DFM,0,No,No,No,Countertop,ROAP,Yes,Yes,No,Yes,No,Yes,T&M,No,Credit card (automatic),50.95,307.6,0,1 - 12
3071,Common,0,Yes,Yes,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Mailed check,90.5,4318.35,0,37 - 48
3072,DFM,0,Yes,Yes,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,No,Yes,AMC,Yes,Electronic check,79.4,4820.55,0,61 - 72
3073,DFM,0,No,No,No,Countertop,ROAP,Yes,Yes,Yes,No,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),58.75,3038.55,0,49 - 60
3074,DFM,0,Yes,Yes,Yes,Appliance,ROAP,Yes,Yes,No,No,No,No,T&M,Yes,Credit card (automatic),59.45,2136.9,0,25 - 36
3075,Common,0,Yes,No,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,AMC,Yes,Bank transfer (automatic),105.7,7472.15,0,61 - 72
3076,DFM,0,No,No,Yes,Cabinetry,ROAP,Yes,Yes,No,No,No,No,T&M,No,Electronic check,56.25,389.1,1,1 - 12
3077,Common,0,Yes,No,Yes,Cabinetry,ROAP,Yes,No,Yes,No,No,No,Fixed Price,No,Credit card (automatic),53.3,2296.25,0,37 - 48
3078,DFM,1,No,No,Yes,Appliance,North America,No,No,No,No,Yes,No,T&M,Yes,Electronic check,85.55,187.45,1,1 - 12
3079,DFM,0,No,No,Yes,Cabinetry,ROAP,No,Yes,No,No,Yes,Yes,T&M,Yes,Bank transfer (automatic),68.65,261.25,1,1 - 12
3080,Common,0,No,No,No,Countertop,ROAP,No,No,No,No,No,No,T&M,No,Mailed check,24.3,38.45,0,1 - 12
3081,Common,0,No,No,Yes,Cabinetry,North America,No,No,No,No,Yes,No,T&M,No,Electronic check,77.85,299.2,1,1 - 12
3082,Common,0,No,No,Yes,Appliance,ROAP,Yes,No,No,Yes,No,No,AMC,No,Credit card (automatic),59.9,3043.6,0,49 - 60
3083,Common,0,Yes,Yes,Yes,Appliance,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,No,Credit card (automatic),23.95,1506.4,0,49 - 60
3084,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,Yes,Mailed check,20.15,163.7,0,1 - 12
3085,Common,0,No,No,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Bank transfer (automatic),105.35,323.25,1,1 - 12
3086,Common,0,No,No,Yes,Appliance,North America,No,No,Yes,Yes,No,Yes,T&M,Yes,Bank transfer (automatic),95.65,1640.0,0,13 - 24
3087,DFM,0,No,No,Yes,Appliance,North America,No,No,No,No,Yes,No,T&M,Yes,Electronic check,87.05,762.1,1,1 - 12
3088,Common,0,Yes,Yes,Yes,Cabinetry,ROAP,Yes,No,Yes,Yes,Yes,Yes,Fixed Price,No,Mailed check,81.0,3846.35,0,37 - 48
3089,DFM,0,No,No,Yes,Cabinetry,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),82.45,5646.6,0,61 - 72
3090,Common,0,No,No,Yes,Cabinetry,ROAP,No,No,No,No,Yes,No,T&M,Yes,Mailed check,53.5,53.5,1,1 - 12
3091,DFM,0,Yes,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,No,Bank transfer (automatic),20.5,79.05,0,1 - 12
3092,DFM,0,No,No,No,Countertop,ROAP,No,No,No,No,No,No,T&M,Yes,Mailed check,25.1,25.1,1,1 - 12
3093,Common,0,No,Yes,Yes,Cabinetry,ROAP,No,Yes,No,Yes,No,No,AMC,Yes,Credit card (automatic),54.4,1516.6,0,25 - 36
3094,DFM,0,No,No,Yes,Cabinetry,ROAP,No,Yes,No,No,Yes,No,AMC,Yes,Credit card (automatic),58.6,2224.5,0,37 - 48
3095,Common,0,No,No,Yes,Cabinetry,North America,No,No,Yes,No,No,Yes,T&M,No,Electronic check,84.8,888.75,0,1 - 12
3096,DFM,0,Yes,No,No,Countertop,ROAP,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),61.4,4310.35,0,61 - 72
3097,Common,0,No,Yes,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.4,42.9,0,1 - 12
3098,Common,1,Yes,No,Yes,Cabinetry,North America,No,Yes,Yes,No,No,No,T&M,Yes,Mailed check,79.65,2365.15,1,25 - 36
3099,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,Yes,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.15,353.65,0,13 - 24
3100,DFM,0,Yes,No,Yes,Appliance,North America,No,Yes,Yes,No,Yes,No,T&M,Yes,Credit card (automatic),94.45,5073.1,0,49 - 60
3101,DFM,0,No,No,Yes,Appliance,North America,Yes,No,No,No,No,No,T&M,Yes,Bank transfer (automatic),79.8,4526.85,0,49 - 60
3102,DFM,0,No,No,Yes,Cabinetry,ROAP,Yes,No,No,Yes,No,No,T&M,No,Electronic check,54.2,308.25,1,1 - 12
